Component,Line,Severity,Type,Message,Effort,Author,SoftwareQuality
ghostfolio:apps/api/src/app/account/account.controller.ts,96,MINOR,CODE_SMELL,"Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator.",5min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/admin/admin.controller.ts,67,MINOR,CODE_SMELL,Remove this redundant jump.,1min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/admin/admin.controller.ts,87,MINOR,CODE_SMELL,Remove this redundant jump.,1min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/admin/admin.service.ts,112,MINOR,CODE_SMELL,"Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator.",5min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/admin/admin.service.ts,114,MINOR,CODE_SMELL,"Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator.",5min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/app.controller.ts,12,CRITICAL,CODE_SMELL,Refactor this asynchronous operation outside of the constructor.,5min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/app.module.ts,56,MAJOR,CODE_SMELL,Remove this commented out code.,5min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/auth/auth.service.ts,17,MAJOR,BUG,Promise executor functions should not be async.,5min,4159106+dtslvr@users.noreply.github.com,RELIABILITY
ghostfolio:apps/api/src/app/auth/auth.service.ts,38,MAJOR,CODE_SMELL,Expected the Promise rejection reason to be an Error.,5min,4159106+dtslvr@users.noreply.github.com,RELIABILITY
ghostfolio:apps/api/src/app/auth/auth.service.ts,52,MINOR,CODE_SMELL,"Prefer using nullish coalescing operator (`??=`) instead of an assignment expression, as it is simpler to read.",5min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/auth/interfaces/simplewebauthn.ts,87,MAJOR,CODE_SMELL,"Remove this redundant type alias and replace its occurrences with ""number"".",5min,mfrey43@gmail.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/auth/interfaces/simplewebauthn.ts,210,MAJOR,CODE_SMELL,"Remove this redundant type alias and replace its occurrences with ""string"".",5min,mfrey43@gmail.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/auth/jwt.strategy.ts,34,MAJOR,CODE_SMELL,Expected an error object to be thrown.,20min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/auth/web-auth.service.ts,113,MINOR,CODE_SMELL,"Prefer using nullish coalescing operator (`??=`) instead of an assignment expression, as it is simpler to read.",5min,mfrey43@gmail.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/cache/cache.controller.ts,15,CRITICAL,CODE_SMELL,Refactor this asynchronous operation outside of the constructor.,5min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/cache/cache.service.ts,13,MINOR,CODE_SMELL,Remove this redundant jump.,1min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/experimental/experimental.controller.ts,1,MINOR,CODE_SMELL,Remove this unused import of 'baseCurrency'.,1min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/experimental/experimental.controller.ts,2,MINOR,CODE_SMELL,Remove this unused import of 'DATE_FORMAT'.,1min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/experimental/experimental.controller.ts,6,MINOR,CODE_SMELL,Remove this unused import of 'Body'.,1min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/experimental/experimental.controller.ts,13,MINOR,CODE_SMELL,Remove this unused import of 'Post'.,1min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/experimental/experimental.controller.ts,16,MINOR,CODE_SMELL,Remove this unused import of 'parse'.,1min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/experimental/experimental.controller.ts,19,MINOR,CODE_SMELL,Remove this unused import of 'CreateOrderDto'.,1min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/experimental/experimental.controller.ts,21,MINOR,CODE_SMELL,Remove this unused import of 'Data'.,1min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/import/import.service.ts,9,MAJOR,CODE_SMELL,Member 'MAX_ORDERS_TO_IMPORT' is never reassigned; mark it as `readonly`.,2min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/info/info.service.ts,16,MAJOR,CODE_SMELL,Member 'DEMO_USER_ID' is never reassigned; mark it as `readonly`.,2min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/order/order.controller.ts,90,MINOR,CODE_SMELL,"Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator.",5min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/portfolio/portfolio-calculator.ts,36,MAJOR,CODE_SMELL,Member 'currentRateService: CurrentRateService' is never reassigned; mark it as `readonly`.,2min,valentin.zickner@flowable.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/portfolio/portfolio-calculator.ts,37,MAJOR,CODE_SMELL,Member 'currency: string' is never reassigned; mark it as `readonly`.,2min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/portfolio/portfolio-calculator.ts,134,CRITICAL,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 58 to the 15 allowed.,48min,github@zickner.ch,MAINTAINABILITY
ghostfolio:apps/api/src/app/portfolio/portfolio-calculator.ts,413,MAJOR,CODE_SMELL,"Remove this assignment of ""currentDate"".",5min,valentin.zickner@flowable.com,RELIABILITY
ghostfolio:apps/api/src/app/portfolio/portfolio-calculator.ts,511,CRITICAL,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 28 to the 15 allowed.,18min,valentin.zickner@flowable.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/portfolio/portfolio.controller.ts,182,MAJOR,CODE_SMELL,"Remove this useless assignment to variable ""symbol"".",1min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
ghostfolio:apps/api/src/app/portfolio/portfolio.service.ts,1,INFO,CODE_SMELL,"Complete the task associated to this ""TODO"" comment.",0min,4159106+dtslvr@users.noreply.github.com,MAINTAINABILITY
